Vehicle Count,ID,In Time,Out Time,Number Plate,OCR Score
1,1,01:18:47,01:19:06,GXI5 0GJ ,0.850413
2,4,01:18:47,01:18:48,ASAISAN ,0.924561
3,5,01:18:48,01:19:25,APOSJEO ,0.950329
4,7,01:18:48,01:19:34,KHOSZZK ,0.977832
5,21,01:18:52,01:19:07,LNI3VCV ,0.919604
6,32,01:18:56,01:19:44,R02FKD ,0.942495
7,71,01:19:18,01:19:48,FJI4ZHY ,0.971466
8,83,01:19:22,01:20:03,EYGINBG ,0.957670
9,101,01:19:46,01:20:20,VOBHVE ,0.891621
10,104,01:19:48,01:20:18,HNI4CD ,0.956380
11,123,01:20:03,01:21:13,AK64DMV ,0.987085
12,132,01:20:12,01:21:50,AF65JKV ,0.989549
13,134,01:20:12,01:20:54,NA54KGJ ,0.986893
14,145,01:20:33,01:20:36,BG65USJ ,0.979756
15,160,01:20:52,01:22:30,GJ06EPD ,0.946615
16,165,01:21:01,01:21:24,EFIODZT ,0.981298
17,169,01:21:06,01:22:37,LNISZZC ,0.964730
18,183,01:21:22,01:23:00,DAO7CLX ,0.956303
19,184,01:21:24,01:22:09,KH06KSU ,0.942478
20,220,01:22:14,01:23:28,EY09VWS ,0.954785
21,225,01:22:29,01:22:54,60WNA ,0.898116
22,253,01:23:04,01:24:04,BP63LYH ,0.986935
23,302,01:23:47,01:25:00,OF05.VKJ ,0.862716
24,330,01:24:07,01:24:38,G65ZFX ,0.977960
25,344,01:24:23,01:24:51,LL6IPZS ,0.927651
26,359,01:24:37,01:25:15,LPI4LJA ,0.976528
27,378,01:24:59,01:25:10,NL640GX ,0.964879
28,391,01:25:16,01:25:51,HX52BPF ,0.952961
29,416,01:25:25,01:26:49,CEGIMYL ,0.928121
30,448,01:25:44,01:26:15,OU06XRO ,0.876059
